math,0,1,2,3,Math_Score
120.0,51.0,40.0,39.0,15.0,1
130.0,47.0,39.0,35.0,14.0,1
112.0,50.0,44.0,39.0,15.0,1
126.0,48.0,37.0,34.0,13.0,1
120.0,42.0,47.0,34.0,22.0,1
132.0,0.0,0.0,0.0,0.0,1
119.0,54.0,38.0,37.0,16.0,1
111.0,52.0,45.0,42.0,17.0,1
99.0,37.0,41.0,44.0,15.0,0
92.0,44.0,48.0,44.0,20.0,0
142.0,45.0,37.0,37.0,15.0,1
120.0,0.0,0.0,0.0,0.0,1
77.0,38.0,42.0,41.0,16.0,0
125.0,0.0,0.0,0.0,0.0,1
123.0,55.0,35.0,33.0,17.0,1
139.0,0.0,0.0,0.0,0.0,1
97.0,0.0,0.0,0.0,0.0,0
124.0,58.0,40.0,40.0,16.0,1
111.0,51.0,44.0,42.0,17.0,1
107.0,40.0,48.0,40.0,18.0,1
127.0,53.0,36.0,32.0,14.0,1
84.0,0.0,0.0,0.0,0.0,0
106.0,33.0,44.0,36.0,17.0,1
88.0,41.0,46.0,46.0,19.0,0
119.0,52.0,43.0,36.0,17.0,1
137.0,23.0,33.0,26.0,11.0,1
115.0,60.0,43.0,41.0,19.0,1
81.0,37.0,47.0,37.0,20.0,0
110.0,50.0,42.0,41.0,16.0,1
113.0,52.0,43.0,41.0,18.0,1
89.0,37.0,45.0,45.0,18.0,0
117.0,56.0,42.0,40.0,17.0,1
118.0,47.0,40.0,37.0,15.0,1
116.0,57.0,39.0,39.0,17.0,1
92.0,48.0,48.0,43.0,23.0,0
119.0,51.0,40.0,35.0,15.0,1
109.0,51.0,37.0,35.0,14.0,1
120.0,50.0,40.0,32.0,16.0,1
110.0,52.0,40.0,41.0,16.0,1
113.0,49.0,42.0,39.0,17.0,1
112.0,43.0,51.0,33.0,17.0,1
110.0,35.0,40.0,40.0,14.0,1
116.0,45.0,39.0,37.0,15.0,1
122.0,3.0,6.0,3.0,2.0,1
147.0,0.0,0.0,0.0,0.0,1
73.0,43.0,45.0,36.0,18.0,0
72.0,46.0,36.0,36.0,15.0,0
116.0,35.0,49.0,33.0,15.0,1
108.0,45.0,53.0,34.0,19.0,1
75.0,0.0,0.0,0.0,0.0,0
117.0,43.0,48.0,31.0,17.0,1
97.0,40.0,43.0,45.0,17.0,0
93.0,32.0,43.0,46.0,16.0,0
144.0,15.0,14.0,13.0,6.0,1
116.0,45.0,55.0,36.0,17.0,1
95.0,41.0,49.0,40.0,18.0,0
105.0,56.0,47.0,46.0,20.0,1
143.0,15.0,14.0,13.0,6.0,1
94.0,39.0,43.0,42.0,18.0,0
115.0,51.0,43.0,42.0,16.0,1
76.0,49.0,61.0,42.0,20.0,0
114.0,39.0,47.0,37.0,16.0,1
130.0,0.0,0.0,0.0,0.0,1
116.0,0.0,0.0,0.0,0.0,1
120.0,51.0,40.0,38.0,16.0,1
116.0,0.0,0.0,0.0,0.0,1
90.0,20.0,19.0,18.0,8.0,0
139.0,52.0,35.0,37.0,15.0,1
96.0,43.0,48.0,45.0,20.0,0
107.0,34.0,38.0,40.0,15.0,1
120.0,35.0,41.0,31.0,15.0,1
119.0,52.0,42.0,37.0,17.0,1
132.0,44.0,51.0,35.0,18.0,1
120.0,48.0,40.0,35.0,17.0,1
107.0,36.0,37.0,40.0,17.0,1
122.0,49.0,40.0,33.0,17.0,1
123.0,0.0,0.0,0.0,0.0,1
102.0,44.0,51.0,43.0,18.0,1
115.0,50.0,42.0,39.0,17.0,1
126.0,58.0,38.0,34.0,16.0,1
116.0,54.0,42.0,33.0,19.0,1
104.0,45.0,52.0,42.0,17.0,1
98.0,51.0,41.0,40.0,18.0,0
96.0,36.0,50.0,39.0,20.0,0
126.0,55.0,41.0,34.0,17.0,1
109.0,51.0,45.0,41.0,18.0,1
116.0,39.0,45.0,34.0,13.0,1
87.0,0.0,0.0,0.0,0.0,0
91.0,41.0,51.0,45.0,19.0,0
108.0,39.0,53.0,38.0,17.0,1
108.0,37.0,45.0,36.0,21.0,1
102.0,40.0,41.0,44.0,16.0,1
70.0,34.0,36.0,30.0,15.0,0
125.0,45.0,38.0,35.0,14.0,1
101.0,38.0,43.0,44.0,15.0,1
126.0,35.0,40.0,34.0,17.0,1
105.0,33.0,43.0,44.0,13.0,1
107.0,53.0,47.0,44.0,19.0,1
146.0,15.0,14.0,13.0,6.0,1
91.0,43.0,49.0,41.0,20.0,0
112.0,46.0,56.0,32.0,19.0,1
109.0,44.0,58.0,37.0,19.0,1
125.0,46.0,40.0,36.0,15.0,1
138.0,1.0,1.0,0.0,1.0,1
98.0,34.0,46.0,42.0,16.0,0
109.0,55.0,45.0,37.0,21.0,1
106.0,51.0,42.0,42.0,18.0,1
81.0,0.0,0.0,0.0,0.0,0
107.0,36.0,51.0,37.0,17.0,1
113.0,49.0,42.0,41.0,17.0,1
125.0,2.0,7.0,3.0,3.0,1
96.0,40.0,48.0,34.0,16.0,0
105.0,35.0,43.0,42.0,14.0,1
107.0,31.0,41.0,44.0,13.0,1
108.0,59.0,47.0,35.0,20.0,1
140.0,20.0,20.0,17.0,8.0,1
116.0,49.0,40.0,39.0,16.0,1
98.0,1.0,1.0,1.0,1.0,0
84.0,30.0,44.0,46.0,17.0,0
113.0,52.0,40.0,32.0,20.0,1
116.0,40.0,43.0,36.0,19.0,1
104.0,37.0,50.0,33.0,19.0,1
112.0,56.0,43.0,41.0,17.0,1
111.0,32.0,40.0,42.0,13.0,1
110.0,36.0,43.0,41.0,11.0,1
127.0,45.0,35.0,32.0,14.0,1
108.0,38.0,44.0,46.0,14.0,1
115.0,49.0,37.0,36.0,15.0,1
138.0,53.0,41.0,43.0,18.0,1
147.0,0.0,0.0,0.0,0.0,1
124.0,53.0,36.0,28.0,15.0,1
119.0,52.0,40.0,36.0,18.0,1
145.0,39.0,44.0,32.0,19.0,1
113.0,55.0,45.0,39.0,19.0,1
112.0,56.0,40.0,34.0,18.0,1
129.0,0.0,0.0,0.0,0.0,1
130.0,47.0,36.0,28.0,16.0,1
127.0,32.0,41.0,31.0,12.0,1
99.0,0.0,0.0,0.0,0.0,0
101.0,44.0,47.0,37.0,18.0,1
93.0,38.0,43.0,45.0,20.0,0
119.0,48.0,40.0,35.0,15.0,1
96.0,39.0,41.0,47.0,16.0,0
101.0,40.0,43.0,45.0,17.0,1
98.0,54.0,40.0,34.0,19.0,0
99.0,12.0,13.0,9.0,7.0,0
94.0,35.0,42.0,40.0,20.0,0
103.0,34.0,41.0,45.0,14.0,1
109.0,49.0,51.0,36.0,26.0,1
145.0,15.0,14.0,13.0,6.0,1
95.0,42.0,40.0,40.0,18.0,0
109.0,45.0,53.0,40.0,17.0,1
118.0,38.0,48.0,34.0,16.0,1
121.0,51.0,38.0,35.0,16.0,1
115.0,53.0,43.0,33.0,18.0,1
95.0,47.0,39.0,37.0,15.0,0
106.0,36.0,36.0,30.0,17.0,1
113.0,37.0,42.0,36.0,15.0,1
109.0,53.0,41.0,35.0,20.0,1
113.0,15.0,16.0,10.0,6.0,1
125.0,50.0,38.0,29.0,17.0,1
106.0,24.0,36.0,38.0,14.0,1
111.0,39.0,49.0,37.0,15.0,1
86.0,0.0,0.0,0.0,0.0,0
104.0,45.0,58.0,39.0,21.0,1
109.0,39.0,41.0,38.0,17.0,1
149.0,0.0,0.0,0.0,0.0,1
99.0,55.0,45.0,41.0,16.0,0
88.0,0.0,0.0,0.0,0.0,0
90.0,10.0,9.0,8.0,2.0,0
118.0,50.0,40.0,34.0,17.0,1
127.0,8.0,11.0,7.0,4.0,1
112.0,59.0,46.0,35.0,21.0,1
117.0,57.0,45.0,37.0,18.0,1
94.0,36.0,42.0,47.0,17.0,0
116.0,54.0,41.0,42.0,17.0,1
145.0,15.0,14.0,13.0,6.0,1
74.0,43.0,52.0,39.0,18.0,0
99.0,43.0,44.0,38.0,21.0,0
117.0,54.0,42.0,41.0,15.0,1
112.0,39.0,45.0,40.0,15.0,1
84.0,39.0,43.0,43.0,17.0,0
145.0,15.0,14.0,13.0,6.0,1
95.0,38.0,40.0,44.0,16.0,0
108.0,52.0,45.0,42.0,18.0,1
125.0,0.0,0.0,0.0,0.0,1
109.0,54.0,43.0,32.0,19.0,1
121.0,54.0,41.0,37.0,16.0,1
97.0,32.0,34.0,32.0,15.0,0
129.0,44.0,51.0,41.0,18.0,1
115.0,47.0,39.0,35.0,17.0,1
123.0,47.0,37.0,29.0,16.0,1
116.0,52.0,40.0,38.0,17.0,1
116.0,51.0,42.0,35.0,18.0,1
114.0,45.0,53.0,38.0,17.0,1
99.0,33.0,41.0,37.0,18.0,0
88.0,0.0,0.0,0.0,0.0,0
113.0,26.0,24.0,22.0,13.0,1
98.0,51.0,42.0,33.0,17.0,0
93.0,37.0,43.0,47.0,19.0,0
101.0,42.0,41.0,36.0,19.0,1
111.0,49.0,39.0,39.0,16.0,1
81.0,47.0,38.0,38.0,15.0,0
108.0,56.0,46.0,40.0,21.0,1
109.0,40.0,43.0,29.0,19.0,1
86.0,51.0,40.0,33.0,17.0,0
112.0,56.0,41.0,33.0,20.0,1
113.0,54.0,42.0,41.0,15.0,1
92.0,36.0,43.0,47.0,17.0,0
95.0,9.0,11.0,7.0,4.0,0
101.0,48.0,41.0,38.0,15.0,1
108.0,51.0,45.0,42.0,17.0,1
103.0,43.0,49.0,40.0,19.0,1
117.0,51.0,37.0,37.0,16.0,1
111.0,51.0,42.0,41.0,17.0,1
117.0,43.0,52.0,32.0,17.0,1
122.0,31.0,37.0,37.0,11.0,1
110.0,42.0,48.0,40.0,17.0,1
75.0,32.0,31.0,26.0,15.0,0
105.0,23.0,33.0,32.0,15.0,1
105.0,53.0,42.0,38.0,19.0,1
116.0,48.0,38.0,35.0,17.0,1
128.0,1.0,0.0,-0.0,0.0,1
112.0,46.0,51.0,36.0,25.0,1
98.0,38.0,45.0,42.0,18.0,0
119.0,29.0,44.0,32.0,13.0,1
118.0,54.0,41.0,37.0,19.0,1
80.0,1.0,4.0,2.0,2.0,0
117.0,41.0,47.0,35.0,16.0,1
93.0,38.0,45.0,45.0,17.0,0
111.0,59.0,38.0,34.0,20.0,1
116.0,44.0,52.0,37.0,15.0,1
111.0,52.0,45.0,37.0,18.0,1
97.0,36.0,40.0,44.0,15.0,0
121.0,0.0,0.0,0.0,0.0,1
95.0,39.0,50.0,48.0,18.0,0
90.0,35.0,38.0,42.0,18.0,0
111.0,43.0,50.0,38.0,23.0,1
124.0,51.0,38.0,37.0,14.0,1
119.0,48.0,42.0,38.0,16.0,1
107.0,51.0,42.0,40.0,19.0,1
71.0,40.0,45.0,38.0,16.0,0
119.0,59.0,39.0,37.0,19.0,1
102.0,47.0,54.0,38.0,19.0,1
134.0,21.0,20.0,14.0,8.0,1
111.0,49.0,41.0,36.0,17.0,1
90.0,48.0,58.0,42.0,24.0,0
146.0,15.0,14.0,13.0,6.0,1
116.0,54.0,36.0,32.0,19.0,1
119.0,52.0,42.0,35.0,16.0,1
99.0,46.0,54.0,44.0,20.0,0
73.0,0.0,0.0,0.0,0.0,0
112.0,56.0,44.0,40.0,18.0,1
115.0,53.0,41.0,38.0,17.0,1
114.0,54.0,43.0,41.0,18.0,1
103.0,49.0,39.0,39.0,17.0,1
105.0,40.0,45.0,45.0,20.0,1
111.0,50.0,31.0,37.0,17.0,1
99.0,40.0,43.0,43.0,17.0,0
126.0,48.0,38.0,34.0,14.0,1
123.0,52.0,41.0,36.0,16.0,1
87.0,52.0,35.0,39.0,15.0,0
92.0,44.0,42.0,39.0,19.0,0
98.0,41.0,43.0,41.0,18.0,0
83.0,47.0,39.0,32.0,15.0,0
121.0,40.0,47.0,36.0,15.0,1
114.0,52.0,43.0,39.0,18.0,1
116.0,50.0,40.0,36.0,15.0,1
127.0,0.0,0.0,0.0,0.0,1
110.0,53.0,43.0,38.0,18.0,1
111.0,37.0,40.0,31.0,16.0,1
114.0,51.0,43.0,32.0,18.0,1
107.0,53.0,62.0,39.0,21.0,1
90.0,51.0,44.0,32.0,19.0,0
90.0,9.0,10.0,6.0,5.0,0
115.0,55.0,44.0,38.0,17.0,1
108.0,37.0,44.0,44.0,14.0,1
113.0,46.0,39.0,37.0,15.0,1
75.0,0.0,0.0,0.0,0.0,0
89.0,50.0,56.0,46.0,22.0,0
100.0,57.0,48.0,44.0,22.0,0
138.0,0.0,0.0,0.0,0.0,1
110.0,41.0,50.0,40.0,17.0,1
100.0,33.0,38.0,44.0,16.0,0
118.0,0.0,0.0,0.0,0.0,1
111.0,42.0,48.0,40.0,16.0,1
123.0,43.0,48.0,43.0,19.0,1
101.0,39.0,41.0,34.0,15.0,1
118.0,49.0,39.0,30.0,18.0,1
117.0,51.0,40.0,30.0,19.0,1
142.0,50.0,42.0,34.0,17.0,1
114.0,51.0,43.0,40.0,17.0,1
120.0,55.0,43.0,38.0,18.0,1
110.0,37.0,41.0,39.0,16.0,1
109.0,37.0,39.0,37.0,21.0,1
115.0,54.0,43.0,40.0,17.0,1
108.0,53.0,43.0,38.0,19.0,1
105.0,34.0,38.0,42.0,17.0,1
113.0,53.0,45.0,40.0,18.0,1
99.0,41.0,44.0,47.0,17.0,0
110.0,52.0,42.0,38.0,17.0,1
116.0,50.0,39.0,35.0,18.0,1
101.0,0.0,0.0,0.0,0.0,1
109.0,1.0,1.0,-0.0,1.0,1
112.0,51.0,42.0,41.0,17.0,1
114.0,54.0,45.0,40.0,18.0,1
116.0,49.0,40.0,39.0,16.0,1
122.0,38.0,42.0,33.0,18.0,1
80.0,36.0,43.0,37.0,15.0,0
105.0,45.0,51.0,40.0,18.0,1
94.0,31.0,34.0,30.0,17.0,0
100.0,0.0,0.0,0.0,0.0,0
97.0,39.0,43.0,42.0,19.0,0
113.0,50.0,42.0,41.0,17.0,1
145.0,0.0,0.0,0.0,0.0,1
97.0,34.0,40.0,42.0,15.0,0
125.0,44.0,36.0,36.0,14.0,1
98.0,40.0,49.0,43.0,18.0,0
93.0,0.0,0.0,0.0,0.0,0
104.0,48.0,58.0,34.0,22.0,1
85.0,42.0,44.0,50.0,21.0,0
114.0,50.0,37.0,40.0,16.0,1
134.0,15.0,16.0,12.0,9.0,1
103.0,36.0,43.0,45.0,14.0,1
102.0,47.0,53.0,40.0,19.0,1
116.0,2.0,4.0,2.0,2.0,1
120.0,48.0,41.0,38.0,15.0,1
122.0,16.0,15.0,13.0,7.0,1
106.0,52.0,46.0,44.0,19.0,1
119.0,49.0,41.0,33.0,16.0,1
99.0,0.0,0.0,0.0,0.0,0
107.0,44.0,52.0,39.0,18.0,1
118.0,39.0,47.0,37.0,14.0,1
134.0,58.0,41.0,38.0,18.0,1
113.0,33.0,37.0,39.0,15.0,1
121.0,49.0,39.0,32.0,15.0,1
104.0,46.0,35.0,36.0,12.0,1
96.0,41.0,44.0,43.0,19.0,0
106.0,40.0,43.0,41.0,17.0,1
74.0,0.0,0.0,0.0,0.0,0
95.0,33.0,38.0,42.0,16.0,0
72.0,0.0,0.0,0.0,0.0,0
148.0,35.0,45.0,41.0,18.0,1
115.0,45.0,37.0,37.0,15.0,1
105.0,44.0,47.0,43.0,24.0,1
71.0,38.0,46.0,26.0,19.0,0
100.0,42.0,54.0,39.0,19.0,0
107.0,54.0,41.0,39.0,20.0,1
112.0,45.0,51.0,33.0,18.0,1
110.0,56.0,43.0,41.0,19.0,1
124.0,43.0,34.0,34.0,13.0,1
95.0,7.0,7.0,6.0,3.0,0
123.0,37.0,39.0,35.0,18.0,1
120.0,51.0,40.0,39.0,15.0,1
113.0,56.0,44.0,36.0,20.0,1
98.0,40.0,47.0,45.0,18.0,0
86.0,0.0,0.0,0.0,0.0,0
118.0,0.0,0.0,0.0,0.0,1
109.0,38.0,49.0,35.0,18.0,1
109.0,51.0,43.0,37.0,19.0,1
86.0,0.0,0.0,0.0,0.0,0
121.0,54.0,38.0,38.0,17.0,1
112.0,41.0,46.0,39.0,20.0,1
102.0,41.0,49.0,48.0,16.0,1
138.0,40.0,41.0,42.0,18.0,1
106.0,62.0,43.0,39.0,21.0,1
112.0,45.0,54.0,40.0,17.0,1
105.0,49.0,55.0,37.0,21.0,1
98.0,56.0,49.0,47.0,21.0,0
117.0,54.0,43.0,41.0,16.0,1
147.0,16.0,15.0,12.0,7.0,1
99.0,52.0,37.0,38.0,15.0,0
122.0,2.0,2.0,1.0,1.0,1
125.0,42.0,47.0,27.0,20.0,1
114.0,50.0,39.0,38.0,14.0,1
110.0,53.0,44.0,38.0,19.0,1
112.0,53.0,45.0,42.0,18.0,1
118.0,49.0,38.0,35.0,14.0,1
120.0,33.0,41.0,42.0,18.0,1
97.0,35.0,51.0,34.0,18.0,0
100.0,38.0,48.0,44.0,18.0,0
94.0,38.0,44.0,44.0,18.0,0
129.0,54.0,39.0,27.0,17.0,1
108.0,49.0,43.0,42.0,18.0,1
120.0,20.0,18.0,15.0,9.0,1
108.0,55.0,49.0,44.0,20.0,1
148.0,57.0,48.0,36.0,21.0,1
107.0,52.0,42.0,42.0,18.0,1
121.0,54.0,39.0,33.0,17.0,1
114.0,53.0,42.0,38.0,16.0,1
123.0,54.0,37.0,32.0,16.0,1
105.0,37.0,45.0,41.0,14.0,1
116.0,34.0,38.0,39.0,17.0,1
129.0,47.0,35.0,28.0,15.0,1
114.0,52.0,40.0,35.0,18.0,1
109.0,56.0,43.0,43.0,19.0,1
99.0,38.0,40.0,46.0,16.0,0
120.0,52.0,36.0,34.0,14.0,1
79.0,32.0,38.0,47.0,19.0,0
149.0,13.0,12.0,8.0,6.0,1
106.0,30.0,32.0,33.0,12.0,1
106.0,46.0,57.0,38.0,20.0,1
120.0,57.0,43.0,32.0,18.0,1
114.0,60.0,44.0,39.0,20.0,1
112.0,37.0,43.0,35.0,14.0,1
99.0,39.0,43.0,40.0,19.0,0
111.0,52.0,44.0,39.0,19.0,1
112.0,57.0,45.0,39.0,19.0,1
97.0,38.0,45.0,39.0,19.0,0
105.0,55.0,49.0,45.0,20.0,1
127.0,58.0,39.0,30.0,17.0,1
112.0,41.0,47.0,39.0,16.0,1
119.0,49.0,41.0,37.0,15.0,1
120.0,58.0,42.0,35.0,18.0,1
111.0,43.0,51.0,39.0,15.0,1
114.0,53.0,44.0,38.0,19.0,1
115.0,52.0,38.0,36.0,18.0,1
104.0,40.0,52.0,39.0,17.0,1
98.0,51.0,55.0,45.0,27.0,0
114.0,54.0,43.0,39.0,18.0,1
115.0,40.0,46.0,39.0,20.0,1
106.0,56.0,47.0,41.0,19.0,1
115.0,50.0,40.0,35.0,18.0,1
81.0,52.0,38.0,36.0,16.0,0
108.0,40.0,41.0,36.0,19.0,1
123.0,57.0,39.0,35.0,18.0,1
79.0,37.0,42.0,42.0,18.0,0
96.0,32.0,48.0,39.0,17.0,0
119.0,0.0,0.0,0.0,0.0,1
112.0,36.0,39.0,33.0,16.0,1
123.0,52.0,39.0,39.0,14.0,1
119.0,51.0,39.0,37.0,16.0,1
102.0,42.0,46.0,44.0,18.0,1
102.0,35.0,47.0,38.0,17.0,1
109.0,56.0,45.0,40.0,19.0,1
128.0,53.0,38.0,26.0,18.0,1
