Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,math
0,4,3,5,5,4,1,1,5,1,2,4,3,4,4,2,4,1,2,2,2,3,1,1,5,1,5,2,5,4,2,4,2,2,1,1,5,1,1,2,133.0
4,4,3,3,2,4,3,4,3,4,3,5,4,3,2,3,2,4,4,4,1,4,4,4,1,4,4,4,3,2,3,3,2,4,3,2,2,3,3,3,106.0
3,3,4,2,1,5,2,2,1,3,4,2,2,3,4,3,5,4,5,3,2,2,1,4,3,3,1,3,1,3,1,4,3,1,1,5,3,1,1,1,99.0
2,3,2,4,4,3,3,4,4,4,1,5,4,2,1,5,1,2,4,5,3,5,4,5,2,3,2,3,1,2,3,4,3,4,2,4,2,1,3,3,117.0
4,4,3,4,3,3,4,3,3,3,5,1,4,3,4,2,4,4,2,3,4,2,2,1,2,2,2,3,4,3,3,1,5,2,3,3,5,4,2,2,115.0
2,5,2,4,1,4,2,1,1,5,5,5,1,2,4,4,5,1,3,2,1,2,3,5,2,4,1,4,2,2,1,3,3,2,1,4,4,2,2,1,98.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,148.0
2,1,3,3,3,1,3,4,2,3,5,4,3,3,1,3,2,3,3,3,3,4,4,5,3,3,3,3,3,0,4,4,3,4,4,5,3,1,5,3,108.0
4,5,3,4,1,2,4,2,1,5,4,3,1,3,4,4,4,5,2,2,2,2,4,4,1,4,1,3,4,2,1,2,2,2,2,5,2,2,2,2,104.0
3,5,4,5,1,3,1,3,1,5,3,1,1,4,5,1,3,5,3,3,1,3,3,4,0,5,1,3,3,3,1,3,5,3,2,5,2,1,1,3,115.0
3,2,2,3,3,3,4,5,3,3,1,2,3,1,1,5,2,3,4,3,1,5,4,3,1,2,3,4,2,3,3,2,2,5,3,3,2,2,5,3,131.0
0,4,2,3,3,2,3,4,2,2,2,4,3,2,2,4,2,3,4,3,0,4,4,4,2,5,2,4,3,2,2,4,2,4,3,2,4,2,4,4,72.0
3,4,4,2,3,0,0,0,0,0,4,0,0,3,4,3,3,4,0,2,0,0,0,2,0,0,0,0,0,1,1,0,0,2,0,3,0,0,0,0,77.0
1,1,5,3,2,3,3,3,2,5,2,2,3,1,1,5,1,2,5,1,3,5,3,5,1,5,1,3,5,3,3,3,1,2,4,1,5,3,3,5,117.0
5,1,5,2,5,1,5,1,5,2,5,5,5,1,5,1,3,1,5,1,3,3,5,5,1,2,5,4,1,4,5,1,3,1,5,1,1,5,1,5,114.0
3,5,4,3,3,1,3,2,3,5,2,3,3,2,3,2,4,3,2,3,1,2,5,3,2,3,3,2,2,2,3,2,2,1,3,2,2,3,2,4,114.0
1,3,4,4,2,1,3,2,2,4,1,3,4,1,2,4,2,4,4,2,3,4,5,1,1,4,2,4,1,2,2,1,2,4,3,3,3,1,4,5,127.0
3,2,2,4,2,4,3,1,1,5,2,1,1,3,5,3,5,5,2,3,1,1,2,5,1,4,1,5,1,1,1,2,2,2,3,2,2,4,2,2,104.0
5,2,4,3,4,1,5,2,4,3,4,4,2,2,4,2,4,2,4,2,2,2,5,4,1,4,2,4,3,3,3,2,4,2,5,1,2,5,2,5,113.0
3,5,3,4,4,2,2,3,4,3,1,5,4,5,1,5,2,2,4,3,3,5,4,5,1,5,4,3,3,2,5,5,4,5,3,2,3,2,5,2,110.0
2,1,4,2,5,1,2,4,5,1,1,4,3,2,1,5,1,1,2,4,1,5,4,4,1,5,4,4,2,2,2,4,2,5,3,1,4,1,5,3,125.0
1,3,4,3,2,3,3,3,4,5,3,4,3,3,1,4,1,2,3,4,3,5,3,3,1,5,1,3,3,3,5,3,3,4,3,3,4,2,3,3,115.0
1,3,1,4,3,1,3,4,3,3,1,4,4,1,1,5,1,2,1,3,3,4,4,3,2,5,3,3,2,3,1,1,3,5,3,4,1,1,4,4,133.0
2,1,4,5,3,2,3,2,3,5,3,5,4,3,3,3,5,2,2,3,2,1,4,5,1,5,2,5,3,3,3,3,3,1,3,4,3,3,3,3,99.0
3,3,2,2,3,1,3,3,1,3,3,3,3,1,2,3,2,1,5,3,2,3,4,5,2,3,3,3,2,3,2,2,4,5,2,3,3,2,4,3,126.0
5,3,4,1,3,1,4,3,5,1,4,3,5,1,5,1,3,2,2,3,1,4,5,4,1,3,5,1,1,2,5,1,5,1,5,3,1,4,1,5,121.0
2,4,2,4,2,2,4,1,2,5,4,1,1,1,2,1,4,4,5,3,2,4,4,3,1,4,1,5,2,2,1,4,2,1,5,4,3,2,2,4,110.0
4,2,4,4,4,2,2,4,2,4,1,4,4,2,2,4,2,4,4,4,2,4,3,4,2,4,2,3,2,2,2,5,2,4,3,2,3,3,4,4,115.0
1,1,4,2,5,2,2,5,4,2,1,3,3,3,1,5,1,2,4,3,4,4,5,4,1,5,3,3,2,3,3,4,3,0,2,1,1,1,5,4,148.0
5,2,4,2,1,1,5,3,5,5,4,5,1,1,4,5,4,1,5,2,3,1,5,5,1,5,1,3,1,4,1,1,5,2,5,1,1,5,1,5,115.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.0
2,0,1,3,5,5,2,5,3,4,1,5,4,5,1,5,1,4,5,3,2,5,1,4,1,5,4,1,2,4,3,4,2,5,2,3,4,2,5,2,87.0
4,2,5,2,4,1,4,4,4,4,4,4,2,1,5,3,4,2,5,2,2,2,5,4,2,5,2,3,0,5,2,2,5,1,5,1,5,2,1,5,111.0
4,2,2,2,3,2,5,2,4,3,4,3,4,3,4,1,4,3,1,2,5,3,2,1,2,2,2,1,4,4,2,2,5,1,3,2,4,2,2,3,121.0
3,3,2,3,4,1,2,3,3,4,1,4,3,4,2,5,2,3,4,3,3,4,4,4,2,4,4,4,2,3,3,2,3,5,3,2,3,3,4,3,121.0
3,2,5,2,2,2,2,2,4,4,3,3,4,4,4,3,4,4,3,2,0,3,4,3,3,5,3,2,2,1,4,4,2,2,4,2,2,3,2,4,144.0
0,3,3,4,4,3,3,4,2,3,2,4,4,2,2,5,2,4,4,3,0,4,3,5,4,5,2,3,3,3,3,4,4,5,4,2,2,3,4,4,106.0
4,5,3,1,1,4,4,1,1,5,2,5,2,5,5,4,4,5,5,1,1,3,1,4,1,2,1,2,1,2,1,1,5,4,2,5,2,3,1,1,104.0
3,1,5,2,2,1,5,2,5,4,4,5,3,3,4,2,4,2,5,3,2,4,5,4,1,4,1,3,1,4,3,2,2,2,5,1,4,3,2,5,113.0
3,5,4,4,1,1,3,2,1,5,5,3,1,2,5,1,5,5,2,1,3,2,5,4,1,4,1,3,3,1,1,3,4,1,2,5,3,3,1,2,97.0
5,3,5,1,3,1,5,3,4,4,5,5,4,2,4,3,4,2,3,4,0,2,5,4,1,4,1,2,2,3,4,1,2,2,4,2,3,5,1,5,79.0
2,1,1,1,3,2,1,5,3,1,1,4,4,4,1,5,2,3,4,4,2,5,4,4,1,5,4,5,1,1,3,5,2,5,2,1,3,1,5,3,117.0
1,2,4,4,4,3,3,5,2,4,2,5,4,3,1,5,2,2,5,4,2,4,3,4,1,5,2,3,3,2,2,3,3,4,4,1,2,1,4,5,119.0
3,3,4,2,1,2,2,1,3,4,4,5,2,5,5,2,5,3,4,3,1,1,4,4,2,5,2,4,1,2,2,5,1,2,1,4,2,1,1,1,92.0
5,1,5,1,5,1,5,1,3,2,3,1,3,1,5,1,3,2,5,1,3,3,5,5,1,1,3,5,1,1,5,1,5,1,5,1,3,4,2,5,125.0
2,1,4,2,2,3,3,1,4,5,5,3,4,4,5,2,5,2,1,3,2,2,3,4,2,4,2,3,2,3,3,3,3,1,4,4,4,2,1,4,98.0
3,3,2,3,3,1,3,3,4,1,3,3,2,2,4,2,4,5,1,4,3,3,5,3,2,3,3,3,1,2,1,2,2,2,3,3,1,4,1,4,117.0
3,5,4,5,1,5,3,3,5,5,5,3,1,3,5,3,3,5,1,3,4,3,3,5,1,5,3,5,1,4,1,2,1,1,3,5,3,4,1,1,88.0
4,3,3,3,2,3,3,1,2,4,3,4,1,3,4,2,4,3,3,1,2,2,3,4,1,4,1,4,2,5,2,3,3,3,4,3,3,3,2,3,104.0
4,3,5,5,1,3,5,1,1,5,4,4,1,1,1,2,5,5,2,1,0,1,3,5,1,4,1,1,4,2,1,1,4,1,4,4,4,1,1,3,94.0
3,3,2,4,4,4,4,4,2,2,2,4,2,2,2,5,3,4,2,2,2,4,3,4,2,4,2,4,2,3,1,3,4,4,3,3,3,3,4,4,111.0
1,4,1,5,4,1,3,4,3,1,5,4,4,3,1,5,1,1,1,3,3,3,4,4,1,5,5,2,3,4,3,3,3,5,5,1,1,1,5,5,123.0
1,4,5,5,0,4,5,1,2,5,4,5,2,4,5,2,5,5,1,2,2,2,2,4,1,5,1,5,1,4,4,5,5,1,2,5,1,1,1,4,111.0
4,4,5,4,4,2,5,3,3,5,5,5,2,3,5,3,4,4,1,4,2,2,2,4,1,5,1,5,4,4,2,1,4,2,3,4,3,1,2,4,99.0
3,2,2,4,4,4,4,4,3,4,4,4,4,1,2,5,2,4,5,4,2,4,3,4,1,4,4,4,2,2,3,4,3,4,3,4,2,3,4,4,111.0
3,4,4,5,2,3,3,2,2,4,5,4,4,3,4,2,4,5,2,3,1,2,4,3,1,4,2,3,2,1,2,3,3,2,5,4,3,3,2,4,98.0
2,4,3,3,3,2,3,5,4,3,1,3,4,2,2,4,2,3,4,4,2,4,4,4,1,3,2,3,1,3,2,3,3,4,3,2,2,3,5,3,120.0
1,5,4,5,1,4,2,3,1,5,3,1,1,1,1,1,4,5,5,3,2,1,5,3,1,4,1,4,1,3,1,2,5,2,1,4,4,1,2,4,110.0
1,2,1,3,4,2,2,4,2,2,2,5,4,2,2,4,2,4,4,4,2,4,4,5,1,5,2,3,2,2,2,4,3,4,4,2,2,2,4,2,117.0
2,1,2,1,4,3,1,5,3,3,1,3,2,4,1,4,1,3,4,3,2,5,3,4,2,4,3,3,2,3,3,5,2,5,2,1,2,1,4,2,121.0
4,2,5,2,4,2,4,2,4,4,4,4,2,1,3,2,3,3,5,4,1,3,4,5,1,5,1,5,3,2,3,1,2,2,4,1,4,5,1,5,111.0
2,3,2,4,1,5,1,1,2,5,2,4,4,5,5,1,5,2,1,2,2,1,1,3,4,1,1,3,3,1,0,5,1,1,1,5,1,1,1,2,76.0
3,3,1,3,3,2,2,1,3,2,5,5,3,2,2,5,2,4,5,5,2,3,4,4,1,4,5,5,1,2,3,3,3,4,2,2,4,2,4,3,111.0
4,2,5,2,4,3,4,2,3,3,1,5,4,4,2,3,2,3,3,4,2,4,2,4,1,3,4,4,2,2,5,4,2,4,2,3,2,4,4,2,108.0
2,4,3,4,4,4,2,4,4,4,2,5,3,4,3,4,2,3,4,4,2,4,3,4,3,4,2,3,2,4,3,2,3,4,2,4,3,2,4,2,104.0
3,4,4,3,4,2,3,4,3,4,3,4,4,2,3,3,2,3,4,4,2,4,3,4,1,2,0,4,2,3,2,4,2,4,2,4,4,2,4,2,98.0
3,4,3,4,3,2,2,3,4,3,5,4,3,3,3,4,3,4,4,4,2,3,5,4,1,2,4,2,1,3,3,3,2,5,3,3,4,1,5,3,113.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.0
1,1,4,3,4,4,4,5,2,5,4,2,4,2,2,5,3,5,5,3,2,2,5,5,3,3,5,3,1,1,4,3,4,5,3,2,2,1,5,3,115.0
2,2,1,4,3,2,4,3,4,3,4,4,4,1,4,4,2,4,5,3,2,5,3,3,2,4,2,4,1,3,2,2,3,4,1,3,4,3,3,3,116.0
1,1,4,3,5,1,1,5,2,5,1,4,3,1,1,5,1,2,5,3,1,5,3,4,1,5,3,5,1,2,1,3,3,5,3,2,3,1,5,3,123.0
3,2,2,4,4,2,2,5,5,4,4,3,4,3,1,5,2,2,4,3,2,4,4,5,4,4,3,4,1,2,3,4,4,5,2,1,3,3,4,4,117.0
1,3,2,3,2,3,2,3,1,5,3,1,2,3,2,2,4,5,1,1,3,2,3,3,1,3,4,3,4,1,5,2,1,3,1,3,1,2,1,1,113.0
3,1,3,2,4,1,3,5,1,3,5,3,3,2,1,5,1,2,4,5,2,4,3,3,1,5,2,2,3,3,3,1,3,5,2,4,2,3,5,3,127.0
4,3,4,3,2,3,1,3,4,4,3,4,2,3,2,3,4,4,2,2,1,2,3,4,1,5,2,5,1,1,1,3,3,2,2,2,1,5,1,2,103.0
2,2,4,3,3,1,2,4,5,4,5,5,3,4,2,5,2,1,2,5,2,2,5,3,1,2,4,0,2,2,5,5,4,5,3,2,2,2,5,4,73.0
3,2,1,2,3,2,4,4,3,2,1,5,4,2,2,4,3,2,2,4,2,5,4,3,1,3,4,4,1,2,3,2,2,5,2,3,3,2,5,3,126.0
2,5,1,5,2,2,1,2,1,1,5,3,1,2,1,3,4,3,3,3,2,3,5,5,1,2,1,4,1,3,1,2,1,2,1,5,3,1,1,1,110.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.0
2,1,5,3,4,5,2,1,4,5,4,5,4,5,5,2,5,5,4,3,1,4,2,5,1,5,2,5,1,1,4,5,1,1,1,1,1,1,1,1,82.0
1,3,4,4,5,4,4,3,4,3,5,5,4,5,1,5,1,4,1,3,4,4,3,5,1,5,4,3,4,3,3,5,1,5,1,4,5,3,5,5,100.0
4,5,5,5,3,5,3,3,1,5,5,5,2,3,5,1,3,5,2,3,1,5,5,5,2,5,1,3,3,1,1,3,0,4,4,5,4,4,1,4,127.0
2,3,1,4,3,3,2,2,2,3,2,3,3,3,2,5,2,4,4,4,2,4,2,3,1,3,2,2,2,1,2,4,2,5,3,3,2,2,4,2,118.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,145.0
5,5,1,5,2,2,3,3,1,1,2,4,1,1,5,2,5,5,1,1,1,3,5,2,1,5,1,2,1,1,1,1,4,3,3,3,4,4,2,2,115.0
1,5,1,5,1,1,5,5,5,5,5,1,5,1,1,1,1,1,1,5,1,5,5,5,1,5,1,5,1,1,1,1,1,5,1,1,5,1,5,5,124.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.0
5,4,5,3,4,2,5,1,5,5,5,5,2,1,5,1,4,2,4,5,3,5,3,5,1,1,1,5,1,3,2,1,3,3,5,1,5,5,3,5,109.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.0
4,1,4,2,5,5,3,4,5,1,2,3,4,3,3,3,2,5,2,3,1,4,2,3,1,3,5,3,1,1,3,3,3,4,1,1,4,3,3,3,116.0
5,2,4,2,2,1,5,2,4,4,5,4,3,1,5,1,5,2,2,5,5,2,5,5,2,2,2,2,1,2,4,1,1,1,5,1,1,5,5,5,115.0
2,1,4,2,4,5,2,3,4,3,1,1,2,1,1,5,1,4,4,4,2,4,5,3,1,4,5,4,1,2,4,3,3,5,4,3,4,2,4,4,122.0
5,3,5,5,3,1,5,2,3,3,5,5,3,1,5,1,4,5,5,4,5,5,5,4,1,5,5,5,1,5,4,1,5,1,5,3,1,5,1,5,103.0
4,4,5,5,1,5,3,1,1,5,4,1,1,1,5,1,4,5,5,1,3,2,3,4,1,1,1,4,1,3,2,3,4,1,1,3,3,4,1,4,104.0
2,1,2,1,0,2,3,4,5,1,1,5,5,3,1,4,1,2,4,5,1,5,4,4,2,4,5,3,2,3,5,4,2,0,4,1,2,2,5,4,100.0
1,5,1,5,1,5,5,1,1,5,1,2,1,5,5,1,5,5,3,1,3,0,1,4,1,5,1,3,2,1,1,0,5,1,1,5,1,1,1,1,90.0
4,2,1,3,4,2,4,3,4,4,1,5,4,4,1,5,2,4,4,3,2,5,4,4,1,5,2,4,2,2,4,4,2,5,2,2,2,4,4,2,113.0
2,3,4,0,0,2,3,3,3,3,3,2,3,3,4,2,5,3,3,3,3,2,5,4,2,4,2,4,1,3,3,4,2,4,3,3,3,1,1,3,140.0
3,2,2,3,2,4,1,4,4,5,1,4,4,4,1,5,1,4,4,4,0,5,1,3,2,4,2,3,3,2,2,5,3,5,3,1,4,2,5,2,87.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.0
4,3,4,2,3,2,5,3,4,3,5,4,3,2,5,2,5,2,5,5,1,3,4,3,1,4,3,5,2,2,3,1,3,2,4,2,2,4,1,4,109.0
5,1,4,1,4,1,5,2,5,2,5,5,5,1,5,1,2,1,1,2,1,3,5,5,1,5,5,4,1,1,4,1,3,1,5,1,1,5,1,5,114.0
2,3,2,3,4,2,1,4,4,4,1,4,3,2,2,4,2,3,2,3,1,4,5,2,1,4,4,3,4,3,4,5,1,4,3,3,4,2,3,4,119.0
3,4,2,3,2,1,2,3,4,5,4,5,4,2,2,4,2,2,5,5,2,4,5,5,1,5,2,4,2,2,1,4,4,5,2,2,2,2,4,1,111.0
4,2,3,4,4,1,5,1,5,1,4,4,4,1,5,3,5,1,1,3,2,4,4,3,1,5,5,3,1,3,4,1,4,1,5,1,3,5,1,5,118.0
4,3,4,3,4,1,4,3,2,4,4,5,2,1,4,2,4,2,2,4,1,4,4,4,1,4,2,4,1,4,3,2,3,2,5,2,1,4,1,5,111.0
1,5,5,5,1,1,5,1,4,5,2,1,5,3,5,1,5,1,5,1,5,1,1,2,1,5,1,1,1,1,1,1,1,5,1,5,1,1,4,1,110.0
0,4,5,1,1,1,5,5,1,1,5,5,2,5,5,5,5,1,0,1,2,2,5,5,1,5,1,3,1,3,1,3,5,5,5,5,5,1,1,5,95.0
2,1,2,2,4,2,2,5,2,5,1,5,3,3,1,5,2,4,4,3,2,4,3,4,2,5,5,3,2,2,4,3,5,4,3,1,4,1,5,2,117.0
0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.0
3,2,3,5,1,2,2,1,1,1,2,5,1,3,4,1,4,5,4,1,2,1,3,5,1,5,1,5,1,2,1,1,4,2,4,3,2,3,2,2,105.0
2,1,1,1,5,3,4,4,5,1,1,4,5,3,1,3,1,1,3,4,1,4,3,4,2,4,4,3,2,3,5,5,1,5,2,1,2,2,4,2,122.0
5,1,5,3,3,1,5,1,5,2,5,5,1,3,5,1,5,1,5,5,3,1,5,5,1,5,2,4,4,4,1,1,3,1,3,1,1,5,1,2,102.0
1,3,3,0,3,2,2,4,3,5,1,4,3,3,1,4,1,3,5,4,1,3,3,4,2,3,3,3,3,2,2,4,3,4,2,3,3,3,4,3,121.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0
4,4,4,5,1,1,2,1,1,5,5,4,1,4,4,2,4,5,5,1,2,2,5,4,1,5,1,5,5,4,1,4,4,2,2,4,5,4,1,4,93.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.0
4,3,5,2,2,3,4,1,4,3,5,3,5,3,5,1,4,2,4,4,2,2,3,5,1,3,4,4,4,3,4,2,3,2,4,2,2,5,2,4,103.0
3,1,3,1,5,2,4,4,5,2,4,4,4,3,3,5,4,2,4,0,3,5,3,4,2,5,3,4,2,0,4,3,4,5,4,2,3,2,5,0,71.0
5,3,5,4,2,3,4,3,1,5,5,1,2,3,5,1,5,5,1,3,3,1,1,3,0,3,1,3,1,1,1,3,3,1,3,3,3,4,1,1,86.0
3,1,1,2,5,4,4,3,3,3,5,3,5,3,4,4,2,3,5,5,2,5,3,5,1,3,5,5,2,2,4,5,4,4,1,2,4,2,4,2,109.0
1,1,5,5,1,4,5,3,4,5,1,3,4,3,5,5,2,2,1,4,4,4,5,4,1,3,4,4,1,3,2,3,5,5,1,1,2,1,5,2,111.0
3,2,3,3,4,3,3,3,4,4,3,5,4,2,2,4,2,3,3,3,1,3,4,4,0,3,3,5,2,3,3,3,4,4,2,2,4,4,3,3,133.0
5,3,5,1,5,5,5,1,4,1,5,5,3,1,4,2,1,1,5,2,2,1,1,1,1,5,1,3,2,2,4,1,2,1,5,1,1,5,1,5,114.0
4,2,4,2,3,1,5,4,3,4,4,4,2,1,4,2,4,3,4,2,3,3,4,5,2,5,1,4,1,3,1,1,4,2,5,3,4,5,2,5,114.0
1,4,2,3,3,2,4,4,3,3,2,4,3,4,2,4,3,4,4,4,2,4,4,4,2,4,2,3,2,3,3,4,2,4,2,3,4,2,4,2,112.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0
2,3,2,3,2,1,2,4,2,4,2,5,4,1,2,4,2,1,4,4,4,4,4,2,1,5,1,4,2,1,2,4,2,4,2,4,2,1,4,2,121.0
3,1,4,2,5,2,1,5,2,4,1,5,5,2,1,1,2,4,4,4,0,4,3,4,1,5,4,0,1,4,1,4,5,5,3,2,2,1,4,4,111.0
1,1,3,1,2,4,5,2,3,3,2,3,1,1,2,4,2,3,5,5,3,4,1,5,2,5,3,1,1,2,2,2,3,5,2,2,4,1,4,3,121.0
2,3,1,3,3,2,4,4,3,5,1,5,2,2,2,5,1,3,5,3,1,5,4,4,2,5,2,4,2,3,3,2,4,5,3,3,4,2,5,0,128.0
2,2,3,4,2,3,4,5,5,4,3,2,2,4,4,1,4,1,2,4,5,3,3,2,5,1,1,1,5,4,4,4,2,1,4,2,5,1,1,3,116.0
1,1,2,2,4,3,3,4,3,3,2,5,4,3,2,2,1,3,2,3,2,4,3,4,1,5,4,3,2,3,4,4,4,4,3,2,2,2,3,4,117.0
3,1,2,2,3,5,3,5,3,4,1,5,1,3,1,5,3,3,3,5,2,3,3,5,1,5,3,3,1,3,3,2,1,5,3,1,3,4,5,2,117.0
3,5,5,4,1,5,4,4,2,5,5,3,3,2,4,1,4,2,5,3,3,3,1,3,1,2,2,5,1,3,2,2,5,1,1,4,3,2,1,1,100.0
2,3,3,5,1,2,3,3,4,5,4,4,2,2,4,2,4,2,2,4,1,2,4,3,3,3,1,3,1,2,4,2,4,2,4,3,4,3,2,3,110.0
